Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Training_Time
DecisionTree,0.9872578892416526,0.9936358191075172,0.9841305153874675,0.988860325621251,0.9947667789044402,0.40955281257629395
RandomForest,0.9899000660544203,0.9889643463497453,0.9935113088616981,0.9912326131991713,0.9994234818333273,0.2574946880340576
LogisticRegression,0.9840617076133047,0.9871442371999702,0.9850945494994439,0.9861183282607082,0.9988288601408267,0.328446626663208
NaiveBayes,0.8383584411156805,0.7808624087168193,0.9991101223581758,0.8766062656560071,0.8481954410655841,0.1764545440673828
SVM,0.9920521616841746,0.9951964252466952,0.9909529106414535,0.9930701346957733,0.9997175842540711,1.633629322052002
MLP_ANN,0.9990837612665402,0.9989992958007486,0.9994067482387838,0.9992029804822895,0.9999812834879702,8.445858716964722
